RetDur,BotBrack,StimDur,UpBrack,ProbeDurITI,ProbeDur,ProbeStart,TrialDur,ITI,StimSet,RetStart,ProbeLet,TrialITIDur,Correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ScannerTrigger.keys,ScannerTrigger.rt,TrialStartTime,KeyboardResp.keys,KeyboardResp.corr,KeyboardResp.rt,Participant ID,date,expName,Visit ID,frameRate,
,,,,,,,,,,,,,,0,-1,-1,0,r,7.30846595764,,,,,1,2016_Jan_25_1322,PartialTrial,9999,59.819755062,
,,,,,,,,,,,,,,0,-1,-1,0,,,1453746181.79,,,,1,2016_Jan_25_1322,PartialTrial,9999,59.819755062,
0,1,2,2,6.92,2,2,4,4.92,KTJDRY,2,tbnmqx,8.92,down,0,0,0,0,,,1453746186.8,down,1,0.834275007248,1,2016_Jan_25_1322,PartialTrial,9999,59.819755062,
0,1,2,2,6.92,2,2,4,4.92,KTJDRY,2,tbnmqx,8.92,down,0,0,0,0,,,,,,,1,2016_Jan_25_1322,PartialTrial,9999,59.819755062,
0,0,2,2,4.245,0,2,2,4.245,NDGJXB,2, ,6.245,none,0,1,1,1,,,1453746198.22,None,10,,1,2016_Jan_25_1322,PartialTrial,9999,59.819755062,
0,0,2,2,4.245,0,2,2,4.245,NDGJXB,2, ,6.245,none,0,1,1,1,,,,,,,1,2016_Jan_25_1322,PartialTrial,9999,59.819755062,
5,6,2,3,6.051,2,7,9,4.051,NWQMYF,2,jhbrxg,13.051,right,0,2,2,2,,,1453746206.96,right,1,1.53438901901,1,2016_Jan_25_1322,PartialTrial,9999,59.819755062,
5,6,2,3,6.051,2,7,9,4.051,NWQMYF,2,jhbrxg,13.051,right,0,2,2,2,,,,,,,1,2016_Jan_25_1322,PartialTrial,9999,59.819755062,
5,6,2,3,6.353,2,7,9,4.353,JNDLBY,2,tfmqgd,13.353,down,0,3,3,3,,,1453746222.5,down,1,1.01874804497,1,2016_Jan_25_1322,PartialTrial,9999,59.819755062,
5,6,2,3,6.353,2,7,9,4.353,JNDLBY,2,tfmqgd,13.353,down,0,3,3,3,,,,,,,1,2016_Jan_25_1322,PartialTrial,9999,59.819755062,
5,0,2,5,4.729,0,7,7,4.729,JXKMYH,2, ,11.729,none,0,4,4,4,,,1453746238.36,None,10,,1,2016_Jan_25_1322,PartialTrial,9999,59.819755062,
5,0,2,5,4.729,0,7,7,4.729,JXKMYH,2, ,11.729,none,0,4,4,4,,,,,,,1,2016_Jan_25_1322,PartialTrial,9999,59.819755062,
5,6,2,12,6.017,2,7,9,4.017,KNTYRB,2,jfgldw,13.017,right,0,5,5,5,,,1453746252.58,right,1,1.03379487991,1,2016_Jan_25_1322,PartialTrial,9999,59.819755062,
5,6,2,12,6.017,2,7,9,4.017,KNTYRB,2,jfgldw,13.017,right,0,5,5,5,,,,,,,1,2016_Jan_25_1322,PartialTrial,9999,59.819755062,
5,4,2,34,6.486,2,7,9,4.486,HQDTGF,2,lbwnrx,13.486,right,0,6,6,6,,,1453746268.09,right,1,1.05047178268,1,2016_Jan_25_1322,PartialTrial,9999,59.819755062,
5,4,2,34,6.486,2,7,9,4.486,HQDTGF,2,lbwnrx,13.486,right,0,6,6,6,,,,,,,1,2016_Jan_25_1322,PartialTrial,9999,59.819755062,
5,0,2,34,4.247,0,7,7,4.247,KBTDYW,2, ,11.247,none,0,7,7,7,,,1453746284.08,None,10,,1,2016_Jan_25_1322,PartialTrial,9999,59.819755062,
5,0,2,34,4.247,0,7,7,4.247,KBTDYW,2, ,11.247,none,0,7,7,7,,,,,,,1,2016_Jan_25_1322,PartialTrial,9999,59.819755062,
0,1,2,45,6.058,2,2,4,4.058,FMKRHT,2,ldynqj,8.058,right,0,8,8,8,,,1453746297.82,right,1,0.967221975327,1,2016_Jan_25_1322,PartialTrial,9999,59.819755062,
0,1,2,45,6.058,2,2,4,4.058,FMKRHT,2,ldynqj,8.058,right,0,8,8,8,,,,,,,1,2016_Jan_25_1322,PartialTrial,9999,59.819755062,
0,0,2,56,4.025,0,2,2,4.025,HTXMJR,2, ,6.025,none,0,9,9,9,,,1453746308.38,None,10,,1,2016_Jan_25_1322,PartialTrial,9999,59.819755062,
0,0,2,56,4.025,0,2,2,4.025,HTXMJR,2, ,6.025,none,0,9,9,9,,,,,,,1,2016_Jan_25_1322,PartialTrial,9999,59.819755062,
0,0,2,123,4.002,0,2,2,4.002,YBDHMX,2, ,6.002,none,0,10,10,10,,,1453746316.9,None,10,,1,2016_Jan_25_1322,PartialTrial,9999,59.819755062,
0,0,2,123,4.002,0,2,2,4.002,YBDHMX,2, ,6.002,none,0,10,10,10,,,,,,,1,2016_Jan_25_1322,PartialTrial,9999,59.819755062,
5,2,2,234,6.007,2,7,9,4.007,QXTJMN,2,bfylkh,13.007,right,0,11,11,11,,,1453746325.4,right,1,0.90198302269,1,2016_Jan_25_1322,PartialTrial,9999,59.819755062,
5,2,2,234,6.007,2,7,9,4.007,QXTJMN,2,bfylkh,13.007,right,0,11,11,11,,,,,,,1,2016_Jan_25_1322,PartialTrial,9999,59.819755062,
5,2,2,234,6.967,2,7,9,4.967,FBMDTY,2,jblrgh,13.967,down,0,12,12,12,,,1453746340.91,down,1,1.13562393188,1,2016_Jan_25_1322,PartialTrial,9999,59.819755062,
5,2,2,234,6.967,2,7,9,4.967,FBMDTY,2,jblrgh,13.967,down,0,12,12,12,,,,,,,1,2016_Jan_25_1322,PartialTrial,9999,59.819755062,
5,0,2,345,4.075,0,7,7,4.075,TDMLKB,2, ,11.075,none,0,13,13,13,,,1453746357.37,None,10,,1,2016_Jan_25_1322,PartialTrial,9999,59.819755062,
