RetDur,BotBrack,StimDur,UpBrack,ProbeDurITI,ProbeDur,ProbeStart,TrialDur,ITI,StimSet,RetStart,ProbeLet,TrialITIDur,Correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ScannerTrigger.keys,ScannerTrigger.rt,TrialStartTime,KeyboardResp.keys,KeyboardResp.corr,KeyboardResp.rt,Participant ID,date,expName,Visit ID,frameRate,
,,,,,,,,,,,,,,0,-1,-1,0,equal,8.02729201317,,,,,2003,2016_Feb_03_1047,PartialTrial,1,60.0113890328,
,,,,,,,,,,,,,,0,-1,-1,0,,,1454514432.04,,,,2003,2016_Feb_03_1047,PartialTrial,1,60.0113890328,
5,4,2,345,6.007,2,7,9,4.007,LXDRFJ,2,gynqbh,13.007,7,0,0,0,0,,,1454514442.04,['8'],0,[1.3012890815734863],2003,2016_Feb_03_1047,PartialTrial,1,60.0113890328,
0,0,2,345,4.002,0,2,2,4.002,YXDMLR,2, ,6.002,6,0,1,1,1,,,1454514455.05,None,0,,2003,2016_Feb_03_1047,PartialTrial,1,60.0113890328,
0,0,2,56,4.089,0,2,2,4.089,GKQNHJ,2, ,6.089,6,0,2,2,2,,,1454514461.05,None,0,,2003,2016_Feb_03_1047,PartialTrial,1,60.0113890328,
5,4,2,234,6.967,2,7,9,4.967,JDMHWQ,2,xrtdgl,13.967,6,0,3,3,3,,,1454514467.14,['7'],0,[0.7850229740142822],2003,2016_Feb_03_1047,PartialTrial,1,60.0113890328,
5,0,2,345,4.075,0,7,7,4.075,TJFXRG,2, ,11.075,6,0,4,4,4,,,1454514481.11,None,0,,2003,2016_Feb_03_1047,PartialTrial,1,60.0113890328,
5,2,2,123456,6.08,2,7,9,4.08,WKXGRJ,2,nrbfth,13.08,6,0,5,5,5,,,1454514492.18,['7'],0,[2.1346211433410645],2003,2016_Feb_03_1047,PartialTrial,1,60.0113890328,
5,5,2,23456,6.057,2,7,9,4.057,RYXTHJ,2,mwnbyd,13.057,6,0,6,6,6,,,1454514505.25,['7'],0,[0.8336520195007324],2003,2016_Feb_03_1047,PartialTrial,1,60.0113890328,
5,0,2,12345,4.022,0,7,7,4.022,DHTFLB,2, ,11.022,7,0,7,7,7,,,1454514518.3,None,0,,2003,2016_Feb_03_1047,PartialTrial,1,60.0113890328,
5,2,2,23,6.486,2,7,9,4.486,NFJTWY,2,xmrbhg,13.486,7,0,8,8,8,,,1454514529.33,['8'],0,[0.8501288890838623],2003,2016_Feb_03_1047,PartialTrial,1,60.0113890328,
5,0,2,4,4.696,0,7,7,4.696,YNXJRW,2, ,11.696,7,0,9,9,9,,,1454514542.81,None,0,,2003,2016_Feb_03_1047,PartialTrial,1,60.0113890328,
0,0,2,234,4.004,0,2,2,4.004,NQYXLJ,2, ,6.004,7,0,10,10,10,,,1454514554.5,None,0,,2003,2016_Feb_03_1047,PartialTrial,1,60.0113890328,
0,6,2,123,6.103,2,2,4,4.103,MHFLXR,2,jkdtnf,8.103,6,0,11,11,11,,,1454514560.5,['7'],0,[1.4849061965942383],2003,2016_Feb_03_1047,PartialTrial,1,60.0113890328,
0,2,2,123456,6.65,2,2,4,4.65,HGDJQF,2,bqlxwr,8.65,6,0,12,12,12,,,1454514568.61,['8'],0,[1.81837797164917],2003,2016_Feb_03_1047,PartialTrial,1,60.0113890328,
5,4,2,12,6.499,2,7,9,4.499,BKGRHD,2,njqxfy,13.499,7,0,13,13,13,,,1454514577.26,['8'],0,[1.2513089179992676],2003,2016_Feb_03_1047,PartialTrial,1,60.0113890328,
5,5,2,2345,6.314,2,7,9,4.314,XKGNRJ,2,lytmqh,13.314,7,0,14,14,14,,,1454514590.76,['8'],0,[1.2682690620422363],2003,2016_Feb_03_1047,PartialTrial,1,60.0113890328,
0,2,2,1,6.166,2,2,4,4.166,LNRXJH,2,kgdyfm,8.166,7,0,15,15,15,,,1454514604.07,['8'],0,[0.9178478717803955],2003,2016_Feb_03_1047,PartialTrial,1,60.0113890328,
0,5,2,23456,7.118,2,2,4,5.118,MDJHWK,2,btfgkr,9.118,6,0,16,16,16,,,1454514612.24,['7'],0,[1.651594877243042],2003,2016_Feb_03_1047,PartialTrial,1,60.0113890328,
5,2,2,4,6.051,2,7,9,4.051,MWLDYH,2,nkjfgr,13.051,7,0,17,17,17,,,1454514621.36,['8'],0,[1.5008950233459473],2003,2016_Feb_03_1047,PartialTrial,1,60.0113890328,
0,3,2,45,6.058,2,2,4,4.058,TXJGDQ,2,ryfbmw,8.058,7,0,18,18,18,,,1454514634.41,['8'],0,[1.084963083267212],2003,2016_Feb_03_1047,PartialTrial,1,60.0113890328,
5,4,2,5,6.162,2,7,9,4.162,FQHLYT,2,xrjdkn,13.162,7,0,19,19,19,,,1454514642.47,['8'],0,[1.0003020763397217],2003,2016_Feb_03_1047,PartialTrial,1,60.0113890328,
0,3,2,123456,6.079,2,2,4,4.079,YRBWLK,2,mfnhdq,8.079,7,0,20,20,20,,,1454514655.62,['8'],0,[1.4014008045196533],2003,2016_Feb_03_1047,PartialTrial,1,60.0113890328,
5,0,2,2345,4.494,0,7,7,4.494,NWLGFK,2, ,11.494,7,0,21,21,21,,,1454514663.69,None,0,,2003,2016_Feb_03_1047,PartialTrial,1,60.0113890328,
0,4,2,12345,6.064,2,2,4,4.064,GYKWTB,2,ldxqnf,8.064,7,0,22,22,22,,,1454514675.18,['8'],0,[1.867434024810791],2003,2016_Feb_03_1047,PartialTrial,1,60.0113890328,
5,1,2,12345,6.203,2,7,9,4.203,HWRQXK,2,fydbng,13.203,7,0,23,23,23,,,1454514683.25,['8'],0,[1.251060962677002],2003,2016_Feb_03_1047,PartialTrial,1,60.0113890328,
0,0,2,2345,4.279,0,2,2,4.279,RTDFBG,2, ,6.279,6,0,24,24,24,,,1454514696.45,None,0,,2003,2016_Feb_03_1047,PartialTrial,1,60.0113890328,
0,0,2,12345,4.032,0,2,2,4.032,QJXNDK,2, ,6.032,6,0,25,25,25,,,1454514702.72,None,0,,2003,2016_Feb_03_1047,PartialTrial,1,60.0113890328,
0,0,2,4,4.245,0,2,2,4.245,RDXLBF,2, ,6.245,6,0,26,26,26,,,1454514708.76,None,0,,2003,2016_Feb_03_1047,PartialTrial,1,60.0113890328,
5,6,2,123456,6.004,2,7,9,4.004,YDFHTM,2,wrqxbg,13.004,7,0,27,27,27,,,1454514714.99,['8'],0,[1.5016310214996338],2003,2016_Feb_03_1047,PartialTrial,1,60.0113890328,
0,4,2,2345,6.09,2,2,4,4.09,DMYNBQ,2,jfrhtl,8.09,7,0,28,28,28,,,1454514728.0,['8'],0,[1.2351539134979248],2003,2016_Feb_03_1047,PartialTrial,1,60.0113890328,
5,6,2,12,6.017,2,7,9,4.017,FTHKMG,2,jqwxrb,13.017,7,0,29,29,29,,,1454514736.08,['8'],0,[0.9842119216918945],2003,2016_Feb_03_1047,PartialTrial,1,60.0113890328,
5,5,2,4,6.353,2,7,9,4.353,NJRKLB,2,hdgqkm,13.353,6,0,30,30,30,,,1454514749.1,"['8', '7']",0,"[0.9176368713378906, 1.2516629695892334]",2003,2016_Feb_03_1047,PartialTrial,1,60.0113890328,
5,5,2,45,6.004,2,7,9,4.004,FKMLQB,2,jdwnqr,13.004,6,0,31,31,31,,,1454514762.46,['8'],0,[1.0014021396636963],2003,2016_Feb_03_1047,PartialTrial,1,60.0113890328,
5,3,2,123456,6.166,2,7,9,4.166,NTWHYG,2,qdrbjk,13.166,7,0,32,32,32,,,1454514775.46,['8'],0,[1.6517858505249023],2003,2016_Feb_03_1047,PartialTrial,1,60.0113890328,
0,5,2,2345,6.294,2,2,4,4.294,BQDTJX,2,mrkhdw,8.294,6,0,33,33,33,,,1454514788.63,['7'],0,[1.5849988460540771],2003,2016_Feb_03_1047,PartialTrial,1,60.0113890328,
5,0,2,123,4.361,0,7,7,4.361,HNLYGQ,2, ,11.361,7,0,34,34,34,,,1454514796.92,None,0,,2003,2016_Feb_03_1047,PartialTrial,1,60.0113890328,
5,0,2,34,4.247,0,7,7,4.247,GTQJKD,2, ,11.247,6,0,35,35,35,,,1454514808.27,None,0,,2003,2016_Feb_03_1047,PartialTrial,1,60.0113890328,
