RetDur,BotBrack,StimDur,UpBrack,ProbeDurITI,ProbeDur,ProbeStart,TrialDur,ITI,StimSet,RetStart,ProbeLet,TrialITIDur,Correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ScannerTrigger.keys,ScannerTrigger.rt,TrialStartTime,KeyboardResp.keys,KeyboardResp.corr,KeyboardResp.rt,Participant ID,date,expName,Visit ID,frameRate,
,,,,,,,,,,,,,,0,-1,-1,0,r,2.7038731575,,,,,2003,2016_Feb_03_0942,PartialTrial,1,59.988729687,
,,,,,,,,,,,,,,0,-1,-1,0,,,1454510577.61,,,,2003,2016_Feb_03_0942,PartialTrial,1,59.988729687,
0,1,2,2,6.92,2,2,4,4.92,KTJDRY,2,tbnmqx,8.92,down,0,0,0,0,,,1454510582.6,down,1,1.10124897957,2003,2016_Feb_03_0942,PartialTrial,1,59.988729687,
0,1,2,2,6.92,2,2,4,4.92,KTJDRY,2,tbnmqx,8.92,down,0,0,0,0,,,,,,,2003,2016_Feb_03_0942,PartialTrial,1,59.988729687,
0,0,2,2,4.245,0,2,2,4.245,NDGJXB,2, ,6.245,none,0,1,1,1,,,1454510594.02,None,10,,2003,2016_Feb_03_0942,PartialTrial,1,59.988729687,
0,0,2,2,4.245,0,2,2,4.245,NDGJXB,2, ,6.245,none,0,1,1,1,,,,,,,2003,2016_Feb_03_0942,PartialTrial,1,59.988729687,
5,6,2,3,6.051,2,7,9,4.051,NWQMYF,2,jhbrxg,13.051,right,0,2,2,2,,,1454510602.76,down,0,0.934369087219,2003,2016_Feb_03_0942,PartialTrial,1,59.988729687,
5,6,2,3,6.051,2,7,9,4.051,NWQMYF,2,jhbrxg,13.051,right,0,2,2,2,,,,,,,2003,2016_Feb_03_0942,PartialTrial,1,59.988729687,
5,6,2,3,6.353,2,7,9,4.353,JNDLBY,2,tfmqgd,13.353,down,0,3,3,3,,,1454510618.3,right,0,1.65963983536,2003,2016_Feb_03_0942,PartialTrial,1,59.988729687,
5,6,2,3,6.353,2,7,9,4.353,JNDLBY,2,tfmqgd,13.353,down,0,3,3,3,,,,,,,2003,2016_Feb_03_0942,PartialTrial,1,59.988729687,
5,0,2,5,4.729,0,7,7,4.729,JXKMYH,2, ,11.729,none,0,4,4,4,,,1454510634.14,None,10,,2003,2016_Feb_03_0942,PartialTrial,1,59.988729687,
5,0,2,5,4.729,0,7,7,4.729,JXKMYH,2, ,11.729,none,0,4,4,4,,,,,,,2003,2016_Feb_03_0942,PartialTrial,1,59.988729687,
5,6,2,12,6.017,2,7,9,4.017,KNTYRB,2,jfgldw,13.017,right,0,5,5,5,,,1454510648.37,right,1,1.23424720764,2003,2016_Feb_03_0942,PartialTrial,1,59.988729687,
5,6,2,12,6.017,2,7,9,4.017,KNTYRB,2,jfgldw,13.017,right,0,5,5,5,,,,,,,2003,2016_Feb_03_0942,PartialTrial,1,59.988729687,
5,4,2,34,6.486,2,7,9,4.486,HQDTGF,2,lbwnrx,13.486,right,0,6,6,6,,,1454510663.89,right,1,2.05154204369,2003,2016_Feb_03_0942,PartialTrial,1,59.988729687,
5,4,2,34,6.486,2,7,9,4.486,HQDTGF,2,lbwnrx,13.486,right,0,6,6,6,,,,,,,2003,2016_Feb_03_0942,PartialTrial,1,59.988729687,
