RetDur,BotBrack,StimDur,UpBrack,ProbeDurITI,ProbeDur,ProbeStart,TrialDur,ITI,StimSet,RetStart,ProbeLet,TrialITIDur,Correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ScannerTrigger.keys,ScannerTrigger.rt,TrialStartTime,KeyboardResp.keys,KeyboardResp.corr,KeyboardResp.rt,Participant ID,date,expName,Visit ID,frameRate,
,,,,,,,,,,,,,,0,-1,-1,0,equal,450.016358852,,,,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
,,,,,,,,,,,,,,0,-1,-1,0,,,1456433469.19,,,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
5,4,2,345,6.007,2,7,9,4.007,LXDRFJ,2,gynqbh,13.007,7,0,0,0,0,,,1456433479.18,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
0,0,2,345,4.002,0,2,2,4.002,YXDMLR,2, ,6.002,6,0,1,1,1,,,1456433492.19,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
0,0,2,56,4.089,0,2,2,4.089,GKQNHJ,2, ,6.089,6,0,2,2,2,,,1456433498.19,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
5,4,2,234,6.967,2,7,9,4.967,JDMHWQ,2,xrtdgl,13.967,6,0,3,3,3,,,1456433504.27,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
5,0,2,345,4.075,0,7,7,4.075,TJFXRG,2, ,11.075,6,0,4,4,4,,,1456433518.24,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
5,2,2,123456,6.08,2,7,9,4.08,WKXGRJ,2,nrbfth,13.08,6,0,5,5,5,,,1456433529.31,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
5,5,2,23456,6.057,2,7,9,4.057,RYXTHJ,2,mwnbyd,13.057,6,0,6,6,6,,,1456433542.39,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
5,0,2,12345,4.022,0,7,7,4.022,DHTFLB,2, ,11.022,7,0,7,7,7,,,1456433555.44,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
5,2,2,23,6.486,2,7,9,4.486,NFJTWY,2,xmrbhg,13.486,7,0,8,8,8,,,1456433566.46,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
5,0,2,4,4.696,0,7,7,4.696,YNXJRW,2, ,11.696,7,0,9,9,9,,,1456433579.94,['7'],0,[3.600436210632324],2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
0,0,2,234,4.004,0,2,2,4.004,NQYXLJ,2, ,6.004,7,0,10,10,10,,,1456433591.63,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
0,6,2,123,6.103,2,2,4,4.103,MHFLXR,2,jkdtnf,8.103,6,0,11,11,11,,,1456433597.64,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
0,2,2,123456,6.65,2,2,4,4.65,HGDJQF,2,bqlxwr,8.65,6,0,12,12,12,,,1456433605.74,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
5,4,2,12,6.499,2,7,9,4.499,BKGRHD,2,njqxfy,13.499,7,0,13,13,13,,,1456433614.39,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
5,5,2,2345,6.314,2,7,9,4.314,XKGNRJ,2,lytmqh,13.314,7,0,14,14,14,,,1456433627.89,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
0,2,2,1,6.166,2,2,4,4.166,LNRXJH,2,kgdyfm,8.166,7,0,15,15,15,,,1456433641.2,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
0,5,2,23456,7.118,2,2,4,5.118,MDJHWK,2,btfgkr,9.118,6,0,16,16,16,,,1456433649.37,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
5,2,2,4,6.051,2,7,9,4.051,MWLDYH,2,nkjfgr,13.051,7,0,17,17,17,,,1456433658.49,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
0,3,2,45,6.058,2,2,4,4.058,TXJGDQ,2,ryfbmw,8.058,7,0,18,18,18,,,1456433671.54,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
5,4,2,5,6.162,2,7,9,4.162,FQHLYT,2,xrjdkn,13.162,7,0,19,19,19,,,1456433679.59,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
0,3,2,123456,6.079,2,2,4,4.079,YRBWLK,2,mfnhdq,8.079,7,0,20,20,20,,,1456433692.74,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
5,0,2,2345,4.494,0,7,7,4.494,NWLGFK,2, ,11.494,7,0,21,21,21,,,1456433700.82,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
0,4,2,12345,6.064,2,2,4,4.064,GYKWTB,2,ldxqnf,8.064,7,0,22,22,22,,,1456433712.32,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
5,1,2,12345,6.203,2,7,9,4.203,HWRQXK,2,fydbng,13.203,7,0,23,23,23,,,1456433720.38,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
0,0,2,2345,4.279,0,2,2,4.279,RTDFBG,2, ,6.279,6,0,24,24,24,,,1456433733.58,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
0,0,2,12345,4.032,0,2,2,4.032,QJXNDK,2, ,6.032,6,0,25,25,25,,,1456433739.87,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
0,0,2,4,4.245,0,2,2,4.245,RDXLBF,2, ,6.245,6,0,26,26,26,,,1456433745.9,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
5,6,2,123456,6.004,2,7,9,4.004,YDFHTM,2,wrqxbg,13.004,7,0,27,27,27,,,1456433752.15,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
0,4,2,2345,6.09,2,2,4,4.09,DMYNBQ,2,jfrhtl,8.09,7,0,28,28,28,,,1456433765.15,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
5,6,2,12,6.017,2,7,9,4.017,FTHKMG,2,jqwxrb,13.017,7,0,29,29,29,,,1456433773.24,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
5,5,2,4,6.353,2,7,9,4.353,NJRKLB,2,hdgqkm,13.353,6,0,30,30,30,,,1456433786.25,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
5,5,2,45,6.004,2,7,9,4.004,FKMLQB,2,jdwnqr,13.004,6,0,31,31,31,,,1456433799.61,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
5,3,2,123456,6.166,2,7,9,4.166,NTWHYG,2,qdrbjk,13.166,7,0,32,32,32,,,1456433812.61,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
0,5,2,2345,6.294,2,2,4,4.294,BQDTJX,2,mrkhdw,8.294,6,0,33,33,33,,,1456433825.78,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
5,0,2,123,4.361,0,7,7,4.361,HNLYGQ,2, ,11.361,7,0,34,34,34,,,1456433834.08,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
5,0,2,34,4.247,0,7,7,4.247,GTQJKD,2, ,11.247,6,0,35,35,35,,,1456433845.45,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
5,0,2,123456,4.428,0,7,7,4.428,DHLTQN,2, ,11.428,7,0,36,36,36,,,1456433856.7,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
5,5,2,3456,6.748,2,7,9,4.748,MDHTBK,2,lnrjbq,13.748,6,0,37,37,37,,,1456433868.13,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
0,0,2,2345,4.863,0,2,2,4.863,KJQWFN,2, ,6.863,7,0,38,38,38,,,1456433881.88,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
0,3,2,345,6.7,2,2,4,4.7,GDHQYL,2,xfkbmr,8.7,7,0,39,39,39,,,1456433888.75,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
5,0,2,23456,4.116,0,7,7,4.116,DKWJGL,2, ,11.116,6,0,40,40,40,,,1456433897.45,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
5,0,2,123456,4.743,0,7,7,4.743,RWYKXJ,2, ,11.743,6,0,41,41,41,,,1456433908.56,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
5,2,2,4,6.011,2,7,9,4.011,QBXNRY,2,lnkmdt,13.011,6,0,42,42,42,,,1456433920.29,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
0,4,2,56,6.205,2,2,4,4.205,BHNXFR,2,qlkrtg,8.205,6,0,43,43,43,,,1456433933.31,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
0,0,2,12,4.025,0,2,2,4.025,HLRYMN,2, ,6.025,7,0,44,44,44,,,1456433941.51,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
5,6,2,1234,6.1,2,7,9,4.1,MKWYLR,2,ghnjqx,13.1,7,0,45,45,45,,,1456433947.53,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
5,0,2,1,4.729,0,7,7,4.729,RBXYTL,2, ,11.729,6,0,46,46,46,,,1456433960.63,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
0,0,2,123456,4.077,0,2,2,4.077,QBMKWD,2, ,6.077,6,0,47,47,47,,,1456433972.36,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
0,0,2,123456,4.449,0,2,2,4.449,MYQJWH,2, ,6.449,7,0,48,48,48,,,1456433978.43,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
0,4,2,3,6.92,2,2,4,4.92,JKDHQN,2,gbxdtm,8.92,6,0,49,49,49,,,1456433984.88,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
5,3,2,2345,6.053,2,7,9,4.053,DTQJWX,2,fhqlrm,13.053,6,0,50,50,50,,,1456433993.8,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
5,4,2,123456,6.365,2,7,9,4.365,NQWRGT,2,lmjhky,13.365,7,0,51,51,51,,,1456434006.85,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
5,0,2,56,4.122,0,7,7,4.122,KLMWHB,2, ,11.122,7,0,52,52,52,,,1456434020.21,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
5,1,2,23456,6.049,2,7,9,4.049,RBXYLJ,2,bqhgkm,13.049,6,0,53,53,53,,,1456434031.32,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
5,1,2,12,6.186,2,7,9,4.186,JXBMFD,2,jtngqh,13.186,6,0,54,54,54,,,1456434044.37,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
0,0,2,4,4.294,0,2,2,4.294,WGHTRM,2, ,6.294,7,0,55,55,55,,,1456434057.56,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
0,0,2,12345,4.021,0,2,2,4.021,FMGYRL,2, ,6.021,7,0,56,56,56,,,1456434063.84,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
5,3,2,1234,7.022,2,7,9,5.022,NBRLGF,2,yqrtdk,14.022,6,0,57,57,57,,,1456434069.86,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
5,1,2,456,6.463,2,7,9,4.463,RLDNYJ,2,mqfkxh,13.463,7,0,58,58,58,,,1456434083.88,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
5,3,2,345,6.833,2,7,9,4.833,JGTWRX,2,kdwbnq,13.833,6,0,59,59,59,,,1456434097.34,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
5,0,2,1234,4.269,0,7,7,4.269,JGQFDT,2, ,11.269,6,0,60,60,60,,,1456434111.18,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
5,1,2,123456,6.097,2,7,9,4.097,RFTXJW,2,jbkygd,13.097,6,0,61,61,61,,,1456434122.46,None,0,,2005,2016_Feb_25_1543,PartialTrial,1,59.9908747248,
