RetDur,BotBrack,StimDur,UpBrack,ProbeDurITI,ProbeDur,ProbeStart,TrialDur,ITI,StimSet,RetStart,ProbeLet,TrialITIDur,Correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ScannerTrigger.keys,ScannerTrigger.rt,TrialStartTime,KeyboardResp.keys,KeyboardResp.corr,KeyboardResp.rt,Participant ID,date,expName,Visit ID,frameRate,
,,,,,,,,,,,,,,0,-1,-1,0,r,5.22493886948,,,,,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
,,,,,,,,,,,,,,0,-1,-1,0,,,1456430124.37,,,,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
0,1,2,2,6.92,2,2,4,4.92,KTJDRY,2,tbnmqx,8.92,down,0,0,0,0,,,1456430129.36,down,1,0.908914089203,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
0,1,2,2,6.92,2,2,4,4.92,KTJDRY,2,tbnmqx,8.92,down,0,0,0,0,,,,,,,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
0,0,2,2,4.245,0,2,2,4.245,NDGJXB,2, ,6.245,none,0,1,1,1,,,1456430140.78,None,10,,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
0,0,2,2,4.245,0,2,2,4.245,NDGJXB,2, ,6.245,none,0,1,1,1,,,,,,,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
5,6,2,3,6.051,2,7,9,4.051,NWQMYF,2,jhbrxg,13.051,right,0,2,2,2,,,1456430149.53,right,1,1.53380608559,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
5,6,2,3,6.051,2,7,9,4.051,NWQMYF,2,jhbrxg,13.051,right,0,2,2,2,,,,,,,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
5,6,2,3,6.353,2,7,9,4.353,JNDLBY,2,tfmqgd,13.353,down,0,3,3,3,,,1456430165.08,down,1,1.28390002251,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
5,6,2,3,6.353,2,7,9,4.353,JNDLBY,2,tfmqgd,13.353,down,0,3,3,3,,,,,,,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
5,0,2,5,4.729,0,7,7,4.729,JXKMYH,2, ,11.729,none,0,4,4,4,,,1456430180.93,None,10,,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
5,0,2,5,4.729,0,7,7,4.729,JXKMYH,2, ,11.729,none,0,4,4,4,,,,,,,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
5,6,2,12,6.017,2,7,9,4.017,KNTYRB,2,jfgldw,13.017,right,0,5,5,5,,,1456430195.17,right,1,1.23418402672,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
5,6,2,12,6.017,2,7,9,4.017,KNTYRB,2,jfgldw,13.017,right,0,5,5,5,,,,,,,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
5,4,2,34,6.486,2,7,9,4.486,HQDTGF,2,lbwnrx,13.486,right,0,6,6,6,,,1456430210.69,right,1,1.08430600166,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
5,4,2,34,6.486,2,7,9,4.486,HQDTGF,2,lbwnrx,13.486,right,0,6,6,6,,,,,,,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
5,0,2,34,4.247,0,7,7,4.247,KBTDYW,2, ,11.247,none,0,7,7,7,,,1456430226.67,None,10,,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
5,0,2,34,4.247,0,7,7,4.247,KBTDYW,2, ,11.247,none,0,7,7,7,,,,,,,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
0,1,2,45,6.058,2,2,4,4.058,FMKRHT,2,ldynqj,8.058,right,0,8,8,8,,,1456430240.4,right,1,1.21725916862,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
0,1,2,45,6.058,2,2,4,4.058,FMKRHT,2,ldynqj,8.058,right,0,8,8,8,,,,,,,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
0,0,2,56,4.025,0,2,2,4.025,HTXMJR,2, ,6.025,none,0,9,9,9,,,1456430250.95,None,10,,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
0,0,2,56,4.025,0,2,2,4.025,HTXMJR,2, ,6.025,none,0,9,9,9,,,,,,,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
0,0,2,123,4.002,0,2,2,4.002,YBDHMX,2, ,6.002,none,0,10,10,10,,,1456430259.46,None,10,,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
0,0,2,123,4.002,0,2,2,4.002,YBDHMX,2, ,6.002,none,0,10,10,10,,,,,,,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
5,2,2,234,6.007,2,7,9,4.007,QXTJMN,2,bfylkh,13.007,right,0,11,11,11,,,1456430267.96,right,1,1.48411107063,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
5,2,2,234,6.007,2,7,9,4.007,QXTJMN,2,bfylkh,13.007,right,0,11,11,11,,,,,,,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
5,2,2,234,6.967,2,7,9,4.967,FBMDTY,2,jblrgh,13.967,down,0,12,12,12,,,1456430283.46,down,1,1.10068702698,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
5,2,2,234,6.967,2,7,9,4.967,FBMDTY,2,jblrgh,13.967,down,0,12,12,12,,,,,,,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
5,0,2,345,4.075,0,7,7,4.075,TDMLKB,2, ,11.075,none,0,13,13,13,,,1456430299.93,None,10,,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
5,0,2,345,4.075,0,7,7,4.075,TDMLKB,2, ,11.075,none,0,13,13,13,,,,,,,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
0,2,2,345,6.7,2,2,4,4.7,JMKRNX,2,fbdgly,8.7,right,0,14,14,14,,,1456430313.5,right,1,1.26748514175,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
0,2,2,345,6.7,2,2,4,4.7,JMKRNX,2,fbdgly,8.7,right,0,14,14,14,,,,,,,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
5,0,2,2345,4.494,0,7,7,4.494,MDTQWF,2, ,11.494,none,0,15,15,15,,,1456430324.7,None,10,,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
5,0,2,2345,4.494,0,7,7,4.494,MDTQWF,2, ,11.494,none,0,15,15,15,,,,,,,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
0,0,2,2345,4.279,0,2,2,4.279,KLFWTJ,2, ,6.279,none,0,16,16,16,,,1456430338.68,None,10,,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
0,0,2,2345,4.279,0,2,2,4.279,KLFWTJ,2, ,6.279,none,0,16,16,16,,,,,,,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
5,4,2,2345,6.748,2,7,9,4.748,WNLMBQ,2,htfnxj,13.748,down,0,17,17,17,,,1456430347.46,down,1,1.15049290657,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
5,4,2,2345,6.748,2,7,9,4.748,WNLMBQ,2,htfnxj,13.748,down,0,17,17,17,,,,,,,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
5,4,2,2345,6.053,2,7,9,4.053,RXHGFK,2,jwtgnm,13.053,down,0,18,18,18,,,1456430363.71,down,1,1.01750397682,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
5,4,2,2345,6.053,2,7,9,4.053,RXHGFK,2,jwtgnm,13.053,down,0,18,18,18,,,,,,,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
0,1,2,3456,6.294,2,2,4,4.294,GJLMXF,2,xbykdn,8.294,down,0,19,19,19,,,1456430379.26,down,1,1.73387813568,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
0,1,2,3456,6.294,2,2,4,4.294,GJLMXF,2,xbykdn,8.294,down,0,19,19,19,,,,,,,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
0,3,2,12345,6.064,2,2,4,4.064,NHXYGK,2,rldbwm,8.064,right,0,20,20,20,,,1456430390.04,right,1,1.33426618576,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
0,3,2,12345,6.064,2,2,4,4.064,NHXYGK,2,rldbwm,8.064,right,0,20,20,20,,,,,,,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
5,0,2,12345,4.116,0,7,7,4.116,WNYDXF,2, ,11.116,none,0,21,21,21,,,1456430400.61,None,10,,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
5,0,2,12345,4.116,0,7,7,4.116,WNYDXF,2, ,11.116,none,0,21,21,21,,,,,,,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
5,1,2,12345,6.049,2,7,9,4.049,XGFBNY,2,xdmrkw,13.049,down,0,22,22,22,,,1456430414.23,down,1,1.85075187683,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
5,1,2,12345,6.049,2,7,9,4.049,XGFBNY,2,xdmrkw,13.049,down,0,22,22,22,,,,,,,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
5,5,2,12345,7.413,2,7,9,5.413,QXTJMN,2,brfwhy,14.413,right,0,23,23,23,,,1456430429.78,right,1,1.10087013245,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
5,5,2,12345,7.413,2,7,9,5.413,QXTJMN,2,brfwhy,14.413,right,0,23,23,23,,,,,,,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
0,0,2,23456,4.032,0,2,2,4.032,DWQGBL,2, ,6.032,none,0,24,24,24,,,1456430446.68,None,10,,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
0,0,2,23456,4.032,0,2,2,4.032,DWQGBL,2, ,6.032,none,0,24,24,24,,,,,,,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
5,1,2,123456,6.08,2,7,9,4.08,WLQHYX,2,ljngtk,13.08,down,0,25,25,25,,,1456430455.21,right,0,1.43385410309,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
5,1,2,123456,6.08,2,7,9,4.08,WLQHYX,2,ljngtk,13.08,down,0,25,25,25,,,,,,,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
0,6,2,123456,6.65,2,2,4,4.65,RDJKWY,2,nbhlgr,8.65,down,0,26,26,26,,,1456430470.79,down,1,1.75085306168,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
0,6,2,123456,6.65,2,2,4,4.65,RDJKWY,2,nbhlgr,8.65,down,0,26,26,26,,,,,,,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
5,5,2,123456,6.004,2,7,9,4.004,DKWFTM,2,rlxyjn,13.004,right,0,27,27,27,,,1456430481.94,down,0,1.73308205605,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
5,5,2,123456,6.004,2,7,9,4.004,DKWFTM,2,rlxyjn,13.004,right,0,27,27,27,,,,,,,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
5,0,2,123456,4.428,0,7,7,4.428,RBLJXK,2, ,11.428,none,0,28,28,28,,,1456430497.44,None,10,,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
5,0,2,123456,4.428,0,7,7,4.428,RBLJXK,2, ,11.428,none,0,28,28,28,,,,,,,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
0,0,2,123456,4.449,0,2,2,4.449,FQJTXR,2, ,6.449,none,0,29,29,29,,,1456430511.36,None,10,,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
0,0,2,123456,4.449,0,2,2,4.449,FQJTXR,2, ,6.449,none,0,29,29,29,,,,,,,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
,,,,,,,,,,,,,,,,,,,,1456430520.33,,,,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
,,,,,,,,,,,,,,,,,,,,1456430530.31,,,,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
,,,,,,,,,,,,,,,,,,,,1456430533.31,,,,2005,2016_Feb_25_1455,PartialTrial,1,59.998512305,
