RetDur,BotBrack,StimDur,UpBrack,ProbeDurITI,ProbeDur,ProbeStart,TrialDur,ITI,StimSet,RetStart,ProbeLet,TrialITIDur,Correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ScannerTrigger.keys,ScannerTrigger.rt,TrialStartTime,KeyboardResp.keys,KeyboardResp.corr,KeyboardResp.rt,Participant ID,date,expName,Visit ID,frameRate,
,,,,,,,,,,,,,,0,-1,-1,0,r,2.702932553,,,,,62160808003,2016_Aug_08_1351,PartT,1,178.460602954,
,,,,,,,,,,,,,,0,-1,-1,0,,,1470678673.9,,,,62160808003,2016_Aug_08_1351,PartT,1,178.460602954,
4,4,2.5,345,6.5,2.5,6.5,9.0,4.0,QNLJXB,2.5,dkymwf,13,right,0,0,0,0,,,1470678683.91,['right'],0,[1.3607441690910491],62160808003,2016_Aug_08_1351,PartT,1,178.460602954,
4,1,2.5,12345,6.5,2.5,6.5,9.0,4.0,KMWQTH,2.5,xljbgr,13,right,0,1,1,1,,,1470678696.9,['right'],0,[2.0752568457301095],62160808003,2016_Aug_08_1351,PartT,1,178.460602954,
4,0,2.5,23456,4.5,0.0,6.5,6.5,4.5,QFNXWJ,2.5, ,11,none,0,2,2,2,,,1470678709.92,None,1,,62160808003,2016_Aug_08_1351,PartT,1,178.460602954,
4,5,2.5,3456,6.5,2.5,6.5,9.0,4.0,KDMWTN,2.5,lbygxq,13,right,0,3,3,3,,,1470678720.92,['right'],0,[1.3559397807293863],62160808003,2016_Aug_08_1351,PartT,1,178.460602954,
0,2,2.5,45,5.5,2.5,2.5,5.0,3.0,DGYMKL,2.5,wrnfhb,8,right,0,4,4,4,,,1470678733.93,['right'],0,[1.01020896605678],62160808003,2016_Aug_08_1351,PartT,1,178.460602954,
0,6,2.5,4,5.5,2.5,2.5,5.0,3.0,TQNFHX,2.5,glkywj,8,right,0,5,5,5,,,1470678741.93,['right'],0,[1.042159400763012],62160808003,2016_Aug_08_1351,PartT,1,178.460602954,
4,5,2.5,123456,6.5,2.5,6.5,9.0,4.0,BYLGJK,2.5,nwtxbq,13,down,0,6,6,6,,,1470678749.94,['down'],0,[1.381434690615606],62160808003,2016_Aug_08_1351,PartT,1,178.460602954,
4,0,2.5,123456,4.5,0.0,6.5,6.5,4.5,JYQLXH,2.5, ,11,none,0,7,7,7,,,1470678762.94,None,1,,62160808003,2016_Aug_08_1351,PartT,1,178.460602954,
4,3,2.5,123456,6.5,2.5,6.5,9.0,4.0,LNJFYG,2.5,wmbhkd,13,right,0,8,8,8,,,1470678773.94,['right'],0,[1.3533399181742425],62160808003,2016_Aug_08_1351,PartT,1,178.460602954,
0,0,2.5,2345,3.5,0.0,2.5,2.5,3.5,QRLFXY,2.5, ,6,none,0,9,9,9,,,1470678786.95,None,1,,62160808003,2016_Aug_08_1351,PartT,1,178.460602954,
0,4,2.5,1234,5.5,2.5,2.5,5.0,3.0,WTMBDK,2.5,yfntrq,8,down,0,10,10,10,,,1470678792.96,['down'],0,[1.8749980499997037],62160808003,2016_Aug_08_1351,PartT,1,178.460602954,
4,4,2.5,456,6.5,2.5,6.5,9.0,4.0,YHGRTB,2.5,fmkblj,13,down,0,11,11,11,,,1470678800.96,['down'],0,[1.220450938421891],62160808003,2016_Aug_08_1351,PartT,1,178.460602954,
0,2,2.5,123456,5.5,2.5,2.5,5.0,3.0,TXMGQW,2.5,lbyrkd,8,right,0,12,12,12,,,1470678813.96,['right'],0,[2.690371682229852],62160808003,2016_Aug_08_1351,PartT,1,178.460602954,
0,0,2.5,4,3.5,0.0,2.5,2.5,3.5,WXDKQF,2.5, ,6,none,0,13,13,13,,,1470678821.96,None,1,,62160808003,2016_Aug_08_1351,PartT,1,178.460602954,
0,1,2.5,12345,5.5,2.5,2.5,5.0,3.0,TGYHXQ,2.5,bjrlnf,8,right,0,14,14,14,,,1470678827.97,['right'],0,[1.9395036245359734],62160808003,2016_Aug_08_1351,PartT,1,178.460602954,
4,0,2.5,45,4.5,0.0,6.5,6.5,4.5,BLQMYG,2.5, ,11,none,0,15,15,15,,,1470678835.97,None,1,,62160808003,2016_Aug_08_1351,PartT,1,178.460602954,
4,1,2.5,23456,6.5,2.5,6.5,9.0,4.0,LXNHTW,2.5,hbdmjf,13,down,0,16,16,16,,,1470678846.97,['down'],0,[1.2563358564275404],62160808003,2016_Aug_08_1351,PartT,1,178.460602954,
4,4,2.5,45,6.5,2.5,6.5,9.0,4.0,DYFRMQ,2.5,twbkjn,13,right,0,17,17,17,,,1470678859.99,['right'],0,[1.7168604760954622],62160808003,2016_Aug_08_1351,PartT,1,178.460602954,
0,5,2.5,234,5.5,2.5,2.5,5.0,3.0,JKLXRW,2.5,bnqfkt,8,down,0,18,18,18,,,1470678872.98,['down'],0,[1.7765472938517632],62160808003,2016_Aug_08_1351,PartT,1,178.460602954,
4,1,2.5,1234,6.5,2.5,6.5,9.0,4.0,YBMJQW,2.5,jrnfdg,13,down,0,19,19,19,,,1470678880.99,['down'],0,[1.7894965224331827],62160808003,2016_Aug_08_1351,PartT,1,178.460602954,
0,0,2.5,456,3.5,0.0,2.5,2.5,3.5,MDYFGQ,2.5, ,6,none,0,20,20,20,,,1470678894.0,None,1,,62160808003,2016_Aug_08_1351,PartT,1,178.460602954,
4,2,2.5,3,6.5,2.5,6.5,9.0,4.0,QRDTMH,2.5,jdkfnb,13,down,0,21,21,21,,,1470678899.99,['down'],0,[1.0243610364641427],62160808003,2016_Aug_08_1351,PartT,1,178.460602954,
0,0,2.5,12,3.5,0.0,2.5,2.5,3.5,BYFJDK,2.5, ,6,none,0,22,22,22,,,1470678913.0,None,1,,62160808003,2016_Aug_08_1351,PartT,1,178.460602954,
4,0,2.5,2,4.5,0.0,6.5,6.5,4.5,FTDKHM,2.5, ,11,none,0,23,23,23,,,1470678919.01,None,1,,62160808003,2016_Aug_08_1351,PartT,1,178.460602954,
4,2,2.5,56,6.5,2.5,6.5,9.0,4.0,WQTNRM,2.5,fmkldh,13,down,0,24,24,24,,,1470678930.01,['down'],0,[1.5022595363188884],62160808003,2016_Aug_08_1351,PartT,1,178.460602954,
0,0,2.5,123456,3.5,0.0,2.5,2.5,3.5,NXRLJT,2.5, ,6,none,0,25,25,25,,,1470678943.02,None,1,,62160808003,2016_Aug_08_1351,PartT,1,178.460602954,
0,0,2.5,12345,3.5,0.0,2.5,2.5,3.5,KJYLHF,2.5, ,6,none,0,26,26,26,,,1470678949.03,None,1,,62160808003,2016_Aug_08_1351,PartT,1,178.460602954,
4,0,2.5,234,4.5,0.0,6.5,6.5,4.5,RWMGDH,2.5, ,11,none,0,27,27,27,,,1470678955.02,None,1,,62160808003,2016_Aug_08_1351,PartT,1,178.460602954,
4,5,2.5,5,6.5,2.5,6.5,9.0,4.0,GNJKWL,2.5,fhrmdq,13,right,0,28,28,28,,,1470678966.03,['right'],0,[1.369643556504343],62160808003,2016_Aug_08_1351,PartT,1,178.460602954,
4,0,2.5,3456,4.5,0.0,6.5,6.5,4.5,WXQGNR,2.5, ,11,none,0,29,29,29,,,1470678979.03,None,1,,62160808003,2016_Aug_08_1351,PartT,1,178.460602954,
,,,,,,,,,,,,,,,,,,,,1470678990.04,,,,62160808003,2016_Aug_08_1351,PartT,1,178.460602954,
,,,,,,,,,,,,,,,,,,,,1470679000.04,,,,62160808003,2016_Aug_08_1351,PartT,1,178.460602954,
