RetDur,BotBrack,StimDur,UpBrack,ProbeDurITI,ProbeDur,ProbeStart,TrialDur,ITI,StimSet,RetStart,ProbeLet,TrialITIDur,Correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ScannerTrigger.keys,ScannerTrigger.rt,TrialStartTime,KeyboardResp.keys,KeyboardResp.corr,KeyboardResp.rt,Participant ID,date,expName,Visit ID,frameRate,
,,,,,,,,,,,,,,0,-1,-1,0,r,4.06796151579,,,,,62160810004,2016_Aug_10_1314,PartT,1,165.343596425,
,,,,,,,,,,,,,,0,-1,-1,0,,,1470849275.48,,,,62160810004,2016_Aug_10_1314,PartT,1,165.343596425,
0,1,2.5,2,6.42,2.5,2.5,5.0,3.92,KTJDRY,2.5,tbnmqx,8.92,down,0,0,0,0,,,1470849280.49,down,1,0.598878529076,62160810004,2016_Aug_10_1314,PartT,1,165.343596425,
0,1,2.5,2,6.42,2.5,2.5,5.0,3.92,KTJDRY,2.5,tbnmqx,8.92,down,0,0,0,0,,,,,,,62160810004,2016_Aug_10_1314,PartT,1,165.343596425,
0,0,2.5,2,3.745,0.0,2.5,2.5,3.745,NDGJXB,2.5, ,6.245,none,0,1,1,1,,,1470849291.91,None,10,,62160810004,2016_Aug_10_1314,PartT,1,165.343596425,
0,0,2.5,2,3.745,0.0,2.5,2.5,3.745,NDGJXB,2.5, ,6.245,none,0,1,1,1,,,,,,,62160810004,2016_Aug_10_1314,PartT,1,165.343596425,
4,6,2.5,3,6.551,2.5,6.5,9.0,4.051,NWQMYF,2.5,jhbrxg,13.051,right,0,2,2,2,,,1470849300.66,right,1,1.01876712914,62160810004,2016_Aug_10_1314,PartT,1,165.343596425,
4,6,2.5,3,6.551,2.5,6.5,9.0,4.051,NWQMYF,2.5,jhbrxg,13.051,right,0,2,2,2,,,,,,,62160810004,2016_Aug_10_1314,PartT,1,165.343596425,
4,6,2.5,3,6.853,2.5,6.5,9.0,4.353,JNDLBY,2.5,tfmqgd,13.353,down,0,3,3,3,,,1470849316.22,down,1,0.879718774271,62160810004,2016_Aug_10_1314,PartT,1,165.343596425,
4,6,2.5,3,6.853,2.5,6.5,9.0,4.353,JNDLBY,2.5,tfmqgd,13.353,down,0,3,3,3,,,,,,,62160810004,2016_Aug_10_1314,PartT,1,165.343596425,
4,0,2.5,5,5.229,0.0,6.5,6.5,5.229,JXKMYH,2.5, ,11.729,none,0,4,4,4,,,1470849332.07,None,10,,62160810004,2016_Aug_10_1314,PartT,1,165.343596425,
4,0,2.5,5,5.229,0.0,6.5,6.5,5.229,JXKMYH,2.5, ,11.729,none,0,4,4,4,,,,,,,62160810004,2016_Aug_10_1314,PartT,1,165.343596425,
4,6,2.5,12,6.517,2.5,6.5,9.0,4.017,KNTYRB,2.5,jfgldw,13.017,right,0,5,5,5,,,1470849346.3,right,1,0.838057102321,62160810004,2016_Aug_10_1314,PartT,1,165.343596425,
4,6,2.5,12,6.517,2.5,6.5,9.0,4.017,KNTYRB,2.5,jfgldw,13.017,right,0,5,5,5,,,,,,,62160810004,2016_Aug_10_1314,PartT,1,165.343596425,
4,4,2.5,34,6.986,2.5,6.5,9.0,4.486,HQDTGF,2.5,lbwnrx,13.486,right,0,6,6,6,,,1470849361.82,right,1,0.642748412502,62160810004,2016_Aug_10_1314,PartT,1,165.343596425,
4,4,2.5,34,6.986,2.5,6.5,9.0,4.486,HQDTGF,2.5,lbwnrx,13.486,right,0,6,6,6,,,,,,,62160810004,2016_Aug_10_1314,PartT,1,165.343596425,
4,0,2.5,34,4.747,0.0,6.5,6.5,4.747,KBTDYW,2.5, ,11.247,none,0,7,7,7,,,1470849377.79,None,10,,62160810004,2016_Aug_10_1314,PartT,1,165.343596425,
4,0,2.5,34,4.747,0.0,6.5,6.5,4.747,KBTDYW,2.5, ,11.247,none,0,7,7,7,,,,,,,62160810004,2016_Aug_10_1314,PartT,1,165.343596425,
0,1,2.5,45,5.558,2.5,2.5,5.0,3.058,FMKRHT,2.5,ldynqj,8.058,right,0,8,8,8,,,1470849391.55,right,1,0.900178496067,62160810004,2016_Aug_10_1314,PartT,1,165.343596425,
0,1,2.5,45,5.558,2.5,2.5,5.0,3.058,FMKRHT,2.5,ldynqj,8.058,right,0,8,8,8,,,,,,,62160810004,2016_Aug_10_1314,PartT,1,165.343596425,
0,0,2.5,56,3.525,0.0,2.5,2.5,3.525,HTXMJR,2.5, ,6.025,none,0,9,9,9,,,1470849402.1,None,10,,62160810004,2016_Aug_10_1314,PartT,1,165.343596425,
0,0,2.5,56,3.525,0.0,2.5,2.5,3.525,HTXMJR,2.5, ,6.025,none,0,9,9,9,,,,,,,62160810004,2016_Aug_10_1314,PartT,1,165.343596425,
0,0,2.5,123,3.502,0.0,2.5,2.5,3.502,YBDHMX,2.5, ,6.002,none,0,10,10,10,,,1470849410.63,None,10,,62160810004,2016_Aug_10_1314,PartT,1,165.343596425,
0,0,2.5,123,3.502,0.0,2.5,2.5,3.502,YBDHMX,2.5, ,6.002,none,0,10,10,10,,,,,,,62160810004,2016_Aug_10_1314,PartT,1,165.343596425,
4,2,2.5,234,6.507,2.5,6.5,9.0,4.007,QXTJMN,2.5,bfylkh,13.007,right,0,11,11,11,,,1470849419.13,right,1,0.840709090819,62160810004,2016_Aug_10_1314,PartT,1,165.343596425,
4,2,2.5,234,6.507,2.5,6.5,9.0,4.007,QXTJMN,2.5,bfylkh,13.007,right,0,11,11,11,,,,,,,62160810004,2016_Aug_10_1314,PartT,1,165.343596425,
