RetDur,BotBrack,StimDur,UpBrack,ProbeDurITI,ProbeDur,ProbeStart,TrialDur,ITI,StimSet,RetStart,ProbeLet,TrialITIDur,Correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ScannerTrigger.keys,ScannerTrigger.rt,TrialStartTime,KeyboardResp.keys,KeyboardResp.corr,KeyboardResp.rt,Participant ID,date,expName,Visit ID,frameRate,
,,,,,,,,,,,,,,0,-1,-1,0,equal,26.6999603433,,,,,62160822002,2016_Aug_22_1450,PartT,1,178.016603816,
,,,,,,,,,,,,,,0,-1,-1,0,,,1471891869.93,,,,62160822002,2016_Aug_22_1450,PartT,1,178.016603816,
4,4,2.5,345,6.507,2.5,6.5,9.0,4.007,LXDRFJ,2.5,gynqbh,13.007,7,0,0,0,0,,,1471891879.95,['3'],0,[1.2376838534128183],62160822002,2016_Aug_22_1450,PartT,1,178.016603816,
0,0,2.5,345,3.502,0.0,2.5,2.5,3.502,YXDMLR,2.5, ,6.002,6,0,1,1,1,,,1471891892.96,None,0,,62160822002,2016_Aug_22_1450,PartT,1,178.016603816,
0,0,2.5,56,3.589,0.0,2.5,2.5,3.589,GKQNHJ,2.5, ,6.089,6,0,2,2,2,,,1471891898.95,None,0,,62160822002,2016_Aug_22_1450,PartT,1,178.016603816,
4,4,2.5,234,7.467,2.5,6.5,9.0,4.967,JDMHWQ,2.5,xrtdgl,13.967,6,0,3,3,3,,,1471891905.05,['2'],0,[0.801279030241858],62160822002,2016_Aug_22_1450,PartT,1,178.016603816,
4,0,2.5,345,4.575,0.0,6.5,6.5,4.575,TJFXRG,2.5, ,11.075,6,0,4,4,4,,,1471891919.01,None,0,,62160822002,2016_Aug_22_1450,PartT,1,178.016603816,
4,2,2.5,123456,6.58,2.5,6.5,9.0,4.08,WKXGRJ,2.5,nrbfth,13.08,6,0,5,5,5,,,1471891930.1,['2'],0,[1.0003284196282038],62160822002,2016_Aug_22_1450,PartT,1,178.016603816,
4,5,2.5,23456,6.557,2.5,6.5,9.0,4.057,RYXTHJ,2.5,mwnbyd,13.057,6,0,6,6,6,,,1471891943.18,['3'],0,[1.4523167541628936],62160822002,2016_Aug_22_1450,PartT,1,178.016603816,
4,0,2.5,12345,4.522,0.0,6.5,6.5,4.522,DHTFLB,2.5, ,11.022,7,0,7,7,7,,,1471891956.23,None,0,,62160822002,2016_Aug_22_1450,PartT,1,178.016603816,
4,2,2.5,23,6.986,2.5,6.5,9.0,4.486,NFJTWY,2.5,xmrbhg,13.486,7,0,8,8,8,,,1471891967.26,"['3', '3']",0,"[0.9510379702351202, 2.6043955683053355]",62160822002,2016_Aug_22_1450,PartT,1,178.016603816,
4,0,2.5,4,5.196,0.0,6.5,6.5,5.196,YNXJRW,2.5, ,11.696,7,0,9,9,9,,,1471891980.76,None,0,,62160822002,2016_Aug_22_1450,PartT,1,178.016603816,
0,0,2.5,234,3.504,0.0,2.5,2.5,3.504,NQYXLJ,2.5, ,6.004,7,0,10,10,10,,,1471891992.44,None,0,,62160822002,2016_Aug_22_1450,PartT,1,178.016603816,
0,6,2.5,123,5.603,2.5,2.5,5.0,3.103,MHFLXR,2.5,jkdtnf,8.103,6,0,11,11,11,,,1471891998.45,['2'],0,[1.293681042141543],62160822002,2016_Aug_22_1450,PartT,1,178.016603816,
0,2,2.5,123456,6.15,2.5,2.5,5.0,3.65,HGDJQF,2.5,bqlxwr,8.65,6,0,12,12,12,,,1471892006.56,['2'],0,[2.0625183709726116],62160822002,2016_Aug_22_1450,PartT,1,178.016603816,
4,4,2.5,12,6.999,2.5,6.5,9.0,4.499,BKGRHD,2.5,njqxfy,13.499,7,0,13,13,13,,,1471892015.2,['3'],0,[0.8731803499958914],62160822002,2016_Aug_22_1450,PartT,1,178.016603816,
4,5,2.5,2345,6.814,2.5,6.5,9.0,4.314,XKGNRJ,2.5,lytmqh,13.314,7,0,14,14,14,,,1471892028.71,['3'],0,[1.5758846393218846],62160822002,2016_Aug_22_1450,PartT,1,178.016603816,
0,2,2.5,1,5.666,2.5,2.5,5.0,3.166,LNRXJH,2.5,kgdyfm,8.166,7,0,15,15,15,,,1471892042.02,['3'],0,[1.5543616589784506],62160822002,2016_Aug_22_1450,PartT,1,178.016603816,
0,5,2.5,23456,6.618,2.5,2.5,5.0,4.118,MDJHWK,2.5,btfgkr,9.118,6,0,16,16,16,,,1471892050.2,['2'],0,[1.4155743977189559],62160822002,2016_Aug_22_1450,PartT,1,178.016603816,
4,2,2.5,4,6.551,2.5,6.5,9.0,4.051,MWLDYH,2.5,nkjfgr,13.051,7,0,17,17,17,,,1471892059.31,['3'],0,[0.8325995891464117],62160822002,2016_Aug_22_1450,PartT,1,178.016603816,
0,3,2.5,45,5.558,2.5,2.5,5.0,3.058,TXJGDQ,2.5,ryfbmw,8.058,7,0,18,18,18,,,1471892072.36,['3'],0,[1.1271731116285082],62160822002,2016_Aug_22_1450,PartT,1,178.016603816,
