StimSet,UpBrack,StimDur,RetStart,RetDur,ProbeStart,ProbeDur,ProbeLet,BotBrack,TrialDur,ITI,TrialITIDur,Correct,ProbeDurITI
QGHFKR,23,2,2,5,7,0, ,0,7,4.024,11.024,7,4.024
XDJLTM,23456,2,2,5,7,0, ,0,7,4.13,11.13,7,4.13
XYNBRF,2345,2,2,5,7,2,gkqdtj,4,9,4.287,13.287,7,6.287
FKMTQG,123456,2,2,5,7,2,yhdlwb,1,9,4.209,13.209,7,6.209
TNJDWB,2,2,2,5,7,2,qxhyfl,5,9,4.569,13.569,7,6.569
LRHKMY,2345,2,2,0,2,2,qgrnfw,3,4,4.67,8.67,6,6.67
WRBDHN,6,2,2,5,7,2,myqxgl,1,9,4.565,13.565,7,6.565
XLTFHQ,345,2,2,5,7,2,rgjdbh,6,9,4.112,13.112,6,6.112
WBFJTY,6,2,2,5,7,2,rmhqyd,5,9,4.05,13.05,6,6.05
JGMQFB,123456,2,2,0,2,0, ,0,2,4.104,6.104,6,4.104
KTMWNL,1234,2,2,0,2,2,drbgfq,3,4,4.125,8.125,7,6.125
KLQMGW,23456,2,2,5,7,2,ydjrtb,6,9,4.025,13.025,7,6.025
KMNFBQ,34,2,2,0,2,0, ,0,2,4.4,6.4,6,4.4
GJBMRN,2345,2,2,5,7,2,hjxlqk,2,9,4.038,13.038,6,6.038
YRMBKD,12345,2,2,5,7,0, ,0,7,4.02,11.02,6,4.02
WHQBYD,12345,2,2,0,2,2,gntfrx,1,4,5.137,9.137,7,7.137
XYDNTF,45,2,2,5,7,2,kgmjwn,6,9,4.116,13.116,6,6.116
LMBRKW,345,2,2,5,7,2,fnxgtj,4,9,5.139,14.139,7,7.139
MFXWDL,12345,2,2,5,7,2,jhrbkd,6,9,4.618,13.618,6,6.618
JRHKTN,123456,2,2,5,7,2,mlyxbd,6,9,4.001,13.001,7,6.001
GJDXLW,123,2,2,0,2,2,jqmrhf,1,4,4,8,6,6
XWMYTB,234,2,2,5,7,2,hdnmfk,4,9,4.12,13.12,6,6.12
JKFLDH,2345,2,2,5,7,2,ynqxrg,3,9,4.417,13.417,7,6.417
NHWFQR,123456,2,2,0,2,2,xbktqj,5,4,5.972,9.972,6,7.972
QWYKRB,123,2,2,5,7,0, ,0,7,4.024,11.024,7,4.024
HXTQMD,2345,2,2,0,2,0, ,0,2,4.002,6.002,7,4.002
GRKBTJ,123,2,2,5,7,2,nymxql,5,9,4.021,13.021,7,6.021
XTRNKH,3456,2,2,5,7,0, ,0,7,4.386,11.386,7,4.386
WLRJNG,6,2,2,0,2,0, ,0,2,4.038,6.038,6,4.038
XTNJWF,3456,2,2,5,7,2,ygbqdh,4,9,4.415,13.415,7,6.415
KXBLTD,12,2,2,5,7,2,mnygrf,3,9,4.128,13.128,7,6.128
QRFJDH,345,2,2,5,7,0, ,0,7,4.015,11.015,6,4.015
MXRTLF,123456,2,2,5,7,2,bylqkd,3,9,4.164,13.164,6,6.164
FJKMBQ,123456,2,2,0,2,0, ,0,2,4.517,6.517,7,4.517
YMQHXG,123456,2,2,5,7,2,twrkjy,6,9,4.074,13.074,6,6.074
JFRBMN,3456,2,2,5,7,2,nhgxqt,1,9,5.255,14.255,6,7.255
GMBFLX,12345,2,2,5,7,2,hqydrt,2,9,4.516,13.516,7,6.516
MGJHDF,12345,2,2,0,2,0, ,0,2,4.301,6.301,6,4.301
WMJNLK,456,2,2,0,2,2,tdyxhb,6,4,4.025,8.025,7,6.025
QGMLKT,1234,2,2,5,7,2,qhyndw,1,9,4.312,13.312,6,6.312
NHQMRX,23,2,2,5,7,2,ljhtbw,3,9,4.003,13.003,6,6.003
NTKWBY,4,2,2,0,2,2,dxmrgw,6,4,4.6,8.6,6,6.6
YLTXNK,45,2,2,0,2,0, ,0,2,4.039,6.039,7,4.039
XYDNTF,456,2,2,5,7,2,btmrgk,2,9,4.147,13.147,6,6.147
DHWBGK,5,2,2,5,7,2,grxjnq,1,9,4.173,13.173,6,6.173
BMLJWY,23,2,2,0,2,2,ktnxfh,2,4,4.096,8.096,7,6.096
KHGWLF,123456,2,2,0,2,2,dqyxtn,2,4,4.202,8.202,7,6.202
KYTQLJ,12345,2,2,5,7,2,qxgwrd,1,9,5.671,14.671,6,7.671
XYLWHD,1,2,2,0,2,0, ,0,2,4.189,6.189,7,4.189
LNFKGJ,3456,2,2,5,7,0, ,0,7,4.363,11.363,6,4.363
GYHWQK,23456,2,2,5,7,2,djxnrf,1,9,4.052,13.052,7,6.052
RYNLWB,45,2,2,0,2,2,jmtghl,6,4,4.121,8.121,6,6.121
TYBDRX,23456,2,2,0,2,0, ,0,2,4.103,6.103,7,4.103
XDYGRT,234,2,2,0,2,0, ,0,2,4.045,6.045,7,4.045
HYDTGR,123,2,2,0,2,0, ,0,2,4.01,6.01,6,4.01
WNDHRY,123456,2,2,5,7,2,txbkml,3,9,4.011,13.011,7,6.011
NJWFRG,23,2,2,5,7,2,lkqmdj,6,9,4.146,13.146,6,6.146
BTXWRQ,23,2,2,5,7,2,mykndj,4,9,4.185,13.185,7,6.185
MYXJNT,1,2,2,5,7,0, ,0,7,4.045,11.045,6,4.045
HBYLMQ,3456,2,2,0,2,0, ,0,2,4.043,6.043,6,4.043
GLMNYH,12345,2,2,0,2,2,knqwxb,2,4,4.427,8.427,6,6.427
WHXFRB,234,2,2,5,7,2,jdglqm,2,9,4.278,13.278,7,6.278
JRWBTF,123456,2,2,5,7,2,lgbnqh,3,9,4.002,13.002,6,6.002
BDLTMY,123456,2,2,5,7,0, ,0,7,4.067,11.067,6,4.067
QMGDKH,45,2,2,5,7,2,tlxrjy,4,9,4.374,13.374,7,6.374
YWDLHX,23456,2,2,5,7,2,tlfbjr,2,9,4.155,13.155,6,6.155
HGFJRD,23,2,2,5,7,0, ,0,7,4.053,11.053,6,4.053
TNJHXF,5,2,2,5,7,2,xgqrdk,1,9,4.055,13.055,6,6.055
QWNGHM,4,2,2,5,7,0, ,0,7,4.279,11.279,7,4.279
XLNJFR,123456,2,2,5,7,0, ,0,7,4.455,11.455,7,4.455
DYKFTL,5,2,2,5,7,2,nhqjmr,3,9,4.052,13.052,7,6.052
BYFQKT,4,2,2,0,2,2,hrxljn,3,4,4.465,8.465,7,6.465
