StimSet,UpBrack,StimDur,RetStart,RetDur,ProbeStart,ProbeDur,ProbeLet,BotBrack,TrialDur,ITI,TrialITIDur,Correct,ProbeDurITI
JHLGKW,123456,2,2,5,7,2,wbqrdf,1,9,4,13,down,6
BQNJFK,123456,2,2,5,7,0, ,0,7,4,11,none,4
KHBJFG,123,2,2,5,7,2,nlrqty,6,9,4,13,right,6
QXRYTF,23456,2,2,5,7,2,nhldjk,4,9,4,13,right,6
DLRMWY,23456,2,2,5,7,0, ,0,7,4,11,none,4
QTNXRL,123456,2,2,0,2,0, ,0,2,4,6,none,4
RTKXWF,1234,2,2,0,2,0, ,0,2,4,6,none,4
RXHDLM,6,2,2,0,2,0, ,0,2,4,6,none,4
GJDTXF,56,2,2,5,7,2,frqhwk,1,9,4,13,down,6
QLKTHN,3456,2,2,5,7,2,bfywdr,4,9,4,13,right,6
MJHLRT,23456,2,2,0,2,0, ,0,2,4,6,none,4
JGHRTL,345,2,2,0,2,0, ,0,2,4,6,none,4
BRNXMQ,123456,2,2,5,7,2,kydwlh,3,9,4,13,right,6
FGRKTW,56,2,2,0,2,2,qnjywd,5,4,4,8,down,6
WNQBGX,123,2,2,5,7,0, ,0,7,4,11,none,4
RNDYWX,5,2,2,5,7,2,fwjqlk,2,9,4,13,down,6
XFNWTJ,23,2,2,5,7,0, ,0,7,4,11,none,4
JQWKHY,12345,2,2,5,7,2,rflmjn,5,9,4,13,down,6
NJBYLH,6,2,2,5,7,0, ,0,7,4,11,right,4
NJBWGH,2,2,2,0,2,2,rdjlqm,3,4,4,8,down,6
DYLBMR,23,2,2,0,2,0, ,0,2,4,6,none,4
HGXMRL,2345,2,2,5,7,0, ,0,7,4,11,none,4
MJFGWL,2345,2,2,0,2,2,hqntyk,3,4,4,8,right,6
QGHNYJ,1,2,2,5,7,2,dtrmlx,3,9,4,13,right,6
WNMBFK,23456,2,2,0,2,2,lrmqjh,3,4,4,8,down,6
GNQJKT,234,2,2,5,7,2,dxhbmn,6,9,4,13,down,6
RBDFMG,2345,2,2,5,7,2,hkxymq,5,9,4,13,down,6
LFJKND,345,2,2,0,2,2,bwmyht,3,4,4,8,right,6
JHLKTF,23,2,2,5,7,2,nrxgbw,5,9,4,13,right,6
FMHDBG,123456,2,2,0,2,2,jftnwr,2,4,4,8,down,6
