StimSet,UpBrack,StimDur,RetStart,RetDur,ProbeStart,ProbeDur,ProbeLet,BotBrack,TrialDur,ITI,TrialITIDur,Correct,ProbeDurITI
KTJDRY,2,2,2,0,2,2,tbnmqx,1,4,4.92,8.92,down,6.92
NDGJXB,2,2,2,0,2,0, ,0,2,4.245,6.245,none,4.245
NWQMYF,3,2,2,5,7,2,jhbrxg,6,9,4.051,13.051,right,6.051
JNDLBY,3,2,2,5,7,2,tfmqgd,6,9,4.353,13.353,down,6.353
JXKMYH,5,2,2,5,7,0, ,0,7,4.729,11.729,none,4.729
KNTYRB,12,2,2,5,7,2,jfgldw,6,9,4.017,13.017,right,6.017
HQDTGF,34,2,2,5,7,2,lbwnrx,4,9,4.486,13.486,right,6.486
KBTDYW,34,2,2,5,7,0, ,0,7,4.247,11.247,none,4.247
FMKRHT,45,2,2,0,2,2,ldynqj,1,4,4.058,8.058,right,6.058
HTXMJR,56,2,2,0,2,0, ,0,2,4.025,6.025,none,4.025
YBDHMX,123,2,2,0,2,0, ,0,2,4.002,6.002,none,4.002
QXTJMN,234,2,2,5,7,2,bfylkh,2,9,4.007,13.007,right,6.007
FBMDTY,234,2,2,5,7,2,jblrgh,2,9,4.967,13.967,down,6.967
TDMLKB,345,2,2,5,7,0, ,0,7,4.075,11.075,none,4.075
JMKRNX,345,2,2,0,2,2,fbdgly,2,4,4.7,8.7,right,6.7
MDTQWF,2345,2,2,5,7,0, ,0,7,4.494,11.494,none,4.494
KLFWTJ,2345,2,2,0,2,0, ,0,2,4.279,6.279,none,4.279
WNLMBQ,2345,2,2,5,7,2,htfnxj,4,9,4.748,13.748,down,6.748
RXHGFK,2345,2,2,5,7,2,jwtgnm,4,9,4.053,13.053,down,6.053
GJLMXF,3456,2,2,0,2,2,xbykdn,1,4,4.294,8.294,down,6.294
NHXYGK,12345,2,2,0,2,2,rldbwm,3,4,4.064,8.064,right,6.064
WNYDXF,12345,2,2,5,7,0, ,0,7,4.116,11.116,none,4.116
XGFBNY,12345,2,2,5,7,2,xdmrkw,1,9,4.049,13.049,down,6.049
QXTJMN,12345,2,2,5,7,2,brfwhy,5,9,5.413,14.413,right,7.413
DWQGBL,23456,2,2,0,2,0, ,0,2,4.032,6.032,none,4.032
WLQHYX,123456,2,2,5,7,2,ljngtk,1,9,4.08,13.08,down,6.08
RDJKWY,123456,2,2,0,2,2,nbhlgr,6,4,4.65,8.65,down,6.65
DKWFTM,123456,2,2,5,7,2,rlxyjn,5,9,4.004,13.004,right,6.004
RBLJXK,123456,2,2,5,7,0, ,0,7,4.428,11.428,none,4.428
FQJTXR,123456,2,2,0,2,0, ,0,2,4.449,6.449,none,4.449
