StimSet,UpBrack,StimDur,RetStart,RetDur,ProbeStart,ProbeDur,ProbeLet,BotBrack,TrialDur,ITI,TrialITIDur,Correct,ProbeDurITI
QGHFKR,23,2.5,2.5,4,6.5,0, ,0,6.5,4.524,11.024,7,4.524
XDJLTM,23456,2.5,2.5,4,6.5,0, ,0,6.5,4.63,11.13,7,4.63
XYNBRF,2345,2.5,2.5,4,6.5,2.5,gkqdtj,4,9,4.287,13.287,7,6.787
FKMTQG,123456,2.5,2.5,4,6.5,2.5,yhdlwb,1,9,4.209,13.209,7,6.709
TNJDWB,2,2.5,2.5,4,6.5,2.5,qxhyfl,5,9,4.569,13.569,7,7.069
LRHKMY,2345,2.5,2.5,0,2.5,2.5,qgrnfw,3,5,3.67,8.67,6,6.17
WRBDHN,6,2.5,2.5,4,6.5,2.5,myqxgl,1,9,4.565,13.565,7,7.065
XLTFHQ,345,2.5,2.5,4,6.5,2.5,rgjdbh,6,9,4.112,13.112,6,6.612
WBFJTY,6,2.5,2.5,4,6.5,2.5,rmhqyd,5,9,4.05,13.05,6,6.55
JGMQFB,123456,2.5,2.5,0,2.5,0, ,0,2.5,3.604,6.104,6,3.604
KTMWNL,1234,2.5,2.5,0,2.5,2.5,drbgfq,3,5,3.125,8.125,7,5.625
KLQMGW,23456,2.5,2.5,4,6.5,2.5,ydjrtb,6,9,4.025,13.025,7,6.525
KMNFBQ,34,2.5,2.5,0,2.5,0, ,0,2.5,3.9,6.4,6,3.9
GJBMRN,2345,2.5,2.5,4,6.5,2.5,hjxlqk,2,9,4.038,13.038,6,6.538
YRMBKD,12345,2.5,2.5,4,6.5,0, ,0,6.5,4.52,11.02,6,4.52
WHQBYD,12345,2.5,2.5,0,2.5,2.5,gntfrx,1,5,4.137,9.137,7,6.637
XYDNTF,45,2.5,2.5,4,6.5,2.5,kgmjwn,6,9,4.116,13.116,6,6.616
LMBRKW,345,2.5,2.5,4,6.5,2.5,fnxgtj,4,9,5.139,14.139,7,7.639
MFXWDL,12345,2.5,2.5,4,6.5,2.5,jhrbkd,6,9,4.618,13.618,6,7.118
JRHKTN,123456,2.5,2.5,4,6.5,2.5,mlyxbd,6,9,4.001,13.001,7,6.501
GJDXLW,123,2.5,2.5,0,2.5,2.5,jqmrhf,1,5,3,8,6,5.5
