StimSet,UpBrack,StimDur,RetStart,RetDur,ProbeStart,ProbeDur,ProbeLet,BotBrack,TrialDur,ITI,TrialITIDur,Correct,ProbeDurITI
JHLGKW,123456,2.5,2.5,4,6.5,2.5,wbqrdf,1,9,4,13,down,6.5
BQNJFK,123456,2.5,2.5,4,6.5,0, ,0,6.5,4.5,11,none,4.5
KHBJFG,123,2.5,2.5,4,6.5,2.5,nlrqty,6,9,4,13,right,6.5
QXRYTF,23456,2.5,2.5,4,6.5,2.5,nhldjk,4,9,4,13,right,6.5
DLRMWY,23456,2.5,2.5,4,6.5,0, ,0,6.5,4.5,11,none,4.5
QTNXRL,123456,2.5,2.5,0,2.5,0, ,0,2.5,3.5,6,none,3.5
RTKXWF,1234,2.5,2.5,0,2.5,0, ,0,2.5,3.5,6,none,3.5
RXHDLM,6,2.5,2.5,0,2.5,0, ,0,2.5,3.5,6,none,3.5
GJDTXF,56,2.5,2.5,4,6.5,2.5,frqhwk,1,9,4,13,down,6.5
QLKTHN,3456,2.5,2.5,4,6.5,2.5,bfywdr,4,9,4,13,right,6.5
MJHLRT,23456,2.5,2.5,0,2.5,0, ,0,2.5,3.5,6,none,3.5
JGHRTL,345,2.5,2.5,0,2.5,0, ,0,2.5,3.5,6,none,3.5
BRNXMQ,123456,2.5,2.5,4,6.5,2.5,kydwlh,3,9,4,13,right,6.5
FGRKTW,56,2.5,2.5,0,2.5,2.5,qnjywd,5,5,3,8,down,5.5
WNQBGX,123,2.5,2.5,4,6.5,0, ,0,6.5,4.5,11,none,4.5
RNDYWX,5,2.5,2.5,4,6.5,2.5,fwjqlk,2,9,4,13,down,6.5
XFNWTJ,23,2.5,2.5,4,6.5,0, ,0,6.5,4.5,11,none,4.5
JQWKHY,12345,2.5,2.5,4,6.5,2.5,rflmjn,5,9,4,13,down,6.5
NJBYLH,6,2.5,2.5,4,6.5,0, ,0,6.5,4.5,11,right,4.5
NJBWGH,2,2.5,2.5,0,2.5,2.5,rdjlqm,3,5,3,8,down,5.5
DYLBMR,23,2.5,2.5,0,2.5,0, ,0,2.5,3.5,6,none,3.5
HGXMRL,2345,2.5,2.5,4,6.5,0, ,0,6.5,4.5,11,none,4.5
MJFGWL,2345,2.5,2.5,0,2.5,2.5,hqntyk,3,5,3,8,right,5.5
QGHNYJ,1,2.5,2.5,4,6.5,2.5,dtrmlx,3,9,4,13,right,6.5
WNMBFK,23456,2.5,2.5,0,2.5,2.5,lrmqjh,3,5,3,8,down,5.5
GNQJKT,234,2.5,2.5,4,6.5,2.5,dxhbmn,6,9,4,13,down,6.5
RBDFMG,2345,2.5,2.5,4,6.5,2.5,hkxymq,5,9,4,13,down,6.5
LFJKND,345,2.5,2.5,0,2.5,2.5,bwmyht,3,5,3,8,right,5.5
JHLKTF,23,2.5,2.5,4,6.5,2.5,nrxgbw,5,9,4,13,right,6.5
FMHDBG,123456,2.5,2.5,0,2.5,2.5,jftnwr,2,5,3,8,down,5.5
