StimSet,UpBrack,StimDur,RetStart,RetDur,ProbeStart,ProbeDur,ProbeLet,BotBrack,TrialDur,ITI,TrialITIDur,Correct,ProbeDurITI
KTJDRY,2,2.5,2.5,0,2.5,2.5,tbnmqx,1,5,3.92,8.92,down,6.42
NDGJXB,2,2.5,2.5,0,2.5,0, ,0,2.5,3.745,6.245,none,3.745
NWQMYF,3,2.5,2.5,4,6.5,2.5,jhbrxg,6,9,4.051,13.051,right,6.551
JNDLBY,3,2.5,2.5,4,6.5,2.5,tfmqgd,6,9,4.353,13.353,down,6.853
JXKMYH,5,2.5,2.5,4,6.5,0, ,0,6.5,5.229,11.729,none,5.229
KNTYRB,12,2.5,2.5,4,6.5,2.5,jfgldw,6,9,4.017,13.017,right,6.517
HQDTGF,34,2.5,2.5,4,6.5,2.5,lbwnrx,4,9,4.486,13.486,right,6.986
KBTDYW,34,2.5,2.5,4,6.5,0, ,0,6.5,4.747,11.247,none,4.747
FMKRHT,45,2.5,2.5,0,2.5,2.5,ldynqj,1,5,3.058,8.058,right,5.558
HTXMJR,56,2.5,2.5,0,2.5,0, ,0,2.5,3.525,6.025,none,3.525
YBDHMX,123,2.5,2.5,0,2.5,0, ,0,2.5,3.502,6.002,none,3.502
QXTJMN,234,2.5,2.5,4,6.5,2.5,bfylkh,2,9,4.007,13.007,right,6.507
FBMDTY,234,2.5,2.5,4,6.5,2.5,jblrgh,2,9,4.967,13.967,down,7.467
TDMLKB,345,2.5,2.5,4,6.5,0, ,0,6.5,4.575,11.075,none,4.575
JMKRNX,345,2.5,2.5,0,2.5,2.5,fbdgly,2,5,3.7,8.7,right,6.2
MDTQWF,2345,2.5,2.5,4,6.5,0, ,0,6.5,4.994,11.494,none,4.994
KLFWTJ,2345,2.5,2.5,0,2.5,0, ,0,2.5,3.779,6.279,none,3.779
WNLMBQ,2345,2.5,2.5,4,6.5,2.5,htfnxj,4,9,4.748,13.748,down,7.248
RXHGFK,2345,2.5,2.5,4,6.5,2.5,jwtgnm,4,9,4.053,13.053,down,6.553
GJLMXF,3456,2.5,2.5,0,2.5,2.5,xbykdn,1,5,3.294,8.294,down,5.794
NHXYGK,12345,2.5,2.5,0,2.5,2.5,rldbwm,3,5,3.064,8.064,right,5.564
WNYDXF,12345,2.5,2.5,4,6.5,0, ,0,6.5,4.616,11.116,none,4.616
XGFBNY,12345,2.5,2.5,4,6.5,2.5,xdmrkw,1,9,4.049,13.049,down,6.549
QXTJMN,12345,2.5,2.5,4,6.5,2.5,brfwhy,5,9,5.413,14.413,right,7.913
DWQGBL,23456,2.5,2.5,0,2.5,0, ,0,2.5,3.532,6.032,none,3.532
WLQHYX,123456,2.5,2.5,4,6.5,2.5,ljngtk,1,9,4.08,13.08,down,6.58
RDJKWY,123456,2.5,2.5,0,2.5,2.5,nbhlgr,6,5,3.65,8.65,down,6.15
DKWFTM,123456,2.5,2.5,4,6.5,2.5,rlxyjn,5,9,4.004,13.004,right,6.504
RBLJXK,123456,2.5,2.5,4,6.5,0, ,0,6.5,4.928,11.428,none,4.928
FQJTXR,123456,2.5,2.5,0,2.5,0, ,0,2.5,3.949,6.449,none,3.949
