RetDur,BotBrack,StimDur,UpBrack,ProbeDurITI,ProbeDur,ProbeStart,TrialDur,ITI,StimSet,RetStart,ProbeLet,TrialITIDur,Correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ScannerTrigger.keys,ScannerTrigger.rt,TrialStartTime,KeyboardResp.keys,KeyboardResp.corr,KeyboardResp.rt,Participant ID,date,expName,Visit ID,frameRate,
,,,,,,,,,,,,,,0,-1,-1,0,r,1.40247263179,,,,,12345,2016_Apr_13_1027,PartialTrial,1,180.27093031,
,,,,,,,,,,,,,,0,-1,-1,0,,,1460557670.38,,,,12345,2016_Apr_13_1027,PartialTrial,1,180.27093031,
5,1,2,123456,6,2,7,9,4,JHLGKW,2,wbqrdf,13,down,0,0,0,0,,,1460557675.38,down,1,1.04543202295,12345,2016_Apr_13_1027,PartialTrial,1,180.27093031,
5,1,2,123456,6,2,7,9,4,JHLGKW,2,wbqrdf,13,down,0,0,0,0,,,,,,,12345,2016_Apr_13_1027,PartialTrial,1,180.27093031,
5,0,2,123456,4,0,7,7,4,BQNJFK,2, ,11,none,0,1,1,1,,,1460557690.88,None,10,,12345,2016_Apr_13_1027,PartialTrial,1,180.27093031,
5,0,2,123456,4,0,7,7,4,BQNJFK,2, ,11,none,0,1,1,1,,,,,,,12345,2016_Apr_13_1027,PartialTrial,1,180.27093031,
5,6,2,123,6,2,7,9,4,KHBJFG,2,nlrqty,13,right,0,2,2,2,,,1460557704.37,right,1,1.21416968432,12345,2016_Apr_13_1027,PartialTrial,1,180.27093031,
5,6,2,123,6,2,7,9,4,KHBJFG,2,nlrqty,13,right,0,2,2,2,,,,,,,12345,2016_Apr_13_1027,PartialTrial,1,180.27093031,
5,4,2,23456,6,2,7,9,4,QXRYTF,2,nhldjk,13,right,0,3,3,3,,,1460557719.88,right,1,0.971235416863,12345,2016_Apr_13_1027,PartialTrial,1,180.27093031,
5,4,2,23456,6,2,7,9,4,QXRYTF,2,nhldjk,13,right,0,3,3,3,,,,,,,12345,2016_Apr_13_1027,PartialTrial,1,180.27093031,
5,0,2,23456,4,0,7,7,4,DLRMWY,2, ,11,none,0,4,4,4,,,1460557735.36,None,10,,12345,2016_Apr_13_1027,PartialTrial,1,180.27093031,
5,0,2,23456,4,0,7,7,4,DLRMWY,2, ,11,none,0,4,4,4,,,,,,,12345,2016_Apr_13_1027,PartialTrial,1,180.27093031,
0,0,2,123456,4,0,2,2,4,QTNXRL,2, ,6,none,0,5,5,5,,,1460557748.87,None,10,,12345,2016_Apr_13_1027,PartialTrial,1,180.27093031,
0,0,2,123456,4,0,2,2,4,QTNXRL,2, ,6,none,0,5,5,5,,,,,,,12345,2016_Apr_13_1027,PartialTrial,1,180.27093031,
