RetDur,BotBrack,StimDur,UpBrack,ProbeDurITI,ProbeDur,ProbeStart,TrialDur,ITI,StimSet,RetStart,ProbeLet,TrialITIDur,Correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ScannerTrigger.keys,ScannerTrigger.rt,TrialStartTime,KeyboardResp.keys,KeyboardResp.corr,KeyboardResp.rt,Participant ID,date,expName,Visit ID,frameRate,
,,,,,,,,,,,,,,0,-1,-1,0,r,1.58383084689,,,,,12345,2016_Apr_13_1041,PartialTrial,1,190.833150539,
,,,,,,,,,,,,,,0,-1,-1,0,,,1460558507.12,,,,12345,2016_Apr_13_1041,PartialTrial,1,190.833150539,
0,1,2,2,6.92,2,2,4,4.92,KTJDRY,2,tbnmqx,8.92,down,0,0,0,0,,,1460558512.14,down,1,1.64529482784,12345,2016_Apr_13_1041,PartialTrial,1,190.833150539,
0,1,2,2,6.92,2,2,4,4.92,KTJDRY,2,tbnmqx,8.92,down,0,0,0,0,,,,,,,12345,2016_Apr_13_1041,PartialTrial,1,190.833150539,
0,0,2,2,4.245,0,2,2,4.245,NDGJXB,2, ,6.245,none,0,1,1,1,,,1460558523.56,None,10,,12345,2016_Apr_13_1041,PartialTrial,1,190.833150539,
0,0,2,2,4.245,0,2,2,4.245,NDGJXB,2, ,6.245,none,0,1,1,1,,,,,,,12345,2016_Apr_13_1041,PartialTrial,1,190.833150539,
5,6,2,3,6.051,2,7,9,4.051,NWQMYF,2,jhbrxg,13.051,right,0,2,2,2,,,1460558532.3,down,0,2.23048941541,12345,2016_Apr_13_1041,PartialTrial,1,190.833150539,
5,6,2,3,6.051,2,7,9,4.051,NWQMYF,2,jhbrxg,13.051,right,0,2,2,2,,,,,,,12345,2016_Apr_13_1041,PartialTrial,1,190.833150539,
5,6,2,3,6.353,2,7,9,4.353,JNDLBY,2,tfmqgd,13.353,down,0,3,3,3,,,1460558547.85,None,-1,,12345,2016_Apr_13_1041,PartialTrial,1,190.833150539,
5,6,2,3,6.353,2,7,9,4.353,JNDLBY,2,tfmqgd,13.353,down,0,3,3,3,,,,,,,12345,2016_Apr_13_1041,PartialTrial,1,190.833150539,
5,0,2,5,4.729,0,7,7,4.729,JXKMYH,2, ,11.729,none,0,4,4,4,,,1460558563.72,None,10,,12345,2016_Apr_13_1041,PartialTrial,1,190.833150539,
5,0,2,5,4.729,0,7,7,4.729,JXKMYH,2, ,11.729,none,0,4,4,4,,,,,,,12345,2016_Apr_13_1041,PartialTrial,1,190.833150539,
5,6,2,12,6.017,2,7,9,4.017,KNTYRB,2,jfgldw,13.017,right,0,5,5,5,,,1460558577.94,None,-1,,12345,2016_Apr_13_1041,PartialTrial,1,190.833150539,
5,6,2,12,6.017,2,7,9,4.017,KNTYRB,2,jfgldw,13.017,right,0,5,5,5,,,,,,,12345,2016_Apr_13_1041,PartialTrial,1,190.833150539,
5,4,2,34,6.486,2,7,9,4.486,HQDTGF,2,lbwnrx,13.486,right,0,6,6,6,,,1460558593.47,None,-1,,12345,2016_Apr_13_1041,PartialTrial,1,190.833150539,
5,4,2,34,6.486,2,7,9,4.486,HQDTGF,2,lbwnrx,13.486,right,0,6,6,6,,,,,,,12345,2016_Apr_13_1041,PartialTrial,1,190.833150539,
5,0,2,34,4.247,0,7,7,4.247,KBTDYW,2, ,11.247,none,0,7,7,7,,,1460558609.44,down,-10,1.34021183548,12345,2016_Apr_13_1041,PartialTrial,1,190.833150539,
5,0,2,34,4.247,0,7,7,4.247,KBTDYW,2, ,11.247,none,0,7,7,7,,,,,,,12345,2016_Apr_13_1041,PartialTrial,1,190.833150539,
0,1,2,45,6.058,2,2,4,4.058,FMKRHT,2,ldynqj,8.058,right,0,8,8,8,,,1460558623.2,right,1,0.894725952576,12345,2016_Apr_13_1041,PartialTrial,1,190.833150539,
0,1,2,45,6.058,2,2,4,4.058,FMKRHT,2,ldynqj,8.058,right,0,8,8,8,,,,,,,12345,2016_Apr_13_1041,PartialTrial,1,190.833150539,
0,0,2,56,4.025,0,2,2,4.025,HTXMJR,2, ,6.025,none,0,9,9,9,,,1460558633.76,None,10,,12345,2016_Apr_13_1041,PartialTrial,1,190.833150539,
0,0,2,56,4.025,0,2,2,4.025,HTXMJR,2, ,6.025,none,0,9,9,9,,,,,,,12345,2016_Apr_13_1041,PartialTrial,1,190.833150539,
0,0,2,123,4.002,0,2,2,4.002,YBDHMX,2, ,6.002,none,0,10,10,10,,,1460558642.29,None,10,,12345,2016_Apr_13_1041,PartialTrial,1,190.833150539,
0,0,2,123,4.002,0,2,2,4.002,YBDHMX,2, ,6.002,none,0,10,10,10,,,,,,,12345,2016_Apr_13_1041,PartialTrial,1,190.833150539,
5,2,2,234,6.007,2,7,9,4.007,QXTJMN,2,bfylkh,13.007,right,0,11,11,11,,,1460558650.8,None,-1,,12345,2016_Apr_13_1041,PartialTrial,1,190.833150539,
